,t-SNE position x,t-SNE position y,Which t-SNE
20190718_sample_2,-23.26,-32.99,Excitatory
20190718_sample_3,-25.01,-30.57,Excitatory
20190718_sample_4,-3.48,-26.34,Lamp5/Vip
20190718_sample_5,-25.37,-44.74,Lamp5/Vip
20190718_sample_6,-31.26,15.03,Lamp5/Vip
20190718_sample_7,-8.19,24.79,Lamp5/Vip
20190718_sample_8,-40.83,-33.85,Lamp5/Vip
20190718_sample_9,-26.99,-21.93,Lamp5/Vip
20190719_sample_1,-28.5,4.84,Excitatory
20190719_sample_2,40.75,-21.15,Excitatory
20190719_sample_4,29.2,-33.73,Excitatory
20190719_sample_5,11.19,-6.52,Excitatory
20190719_sample_6,-4.91,34.11,Excitatory
20190719_sample_9,17.0,-9.48,Excitatory
20190719_sample_10,-5.3,0.69,Excitatory
20190722_sample_1,-13.68,-25.76,Excitatory
20190722_sample_6,-16.72,-24.97,Excitatory
20190722_sample_7,,,           
20190722_sample_8,,,           
20190724_sample_1,-49.72,-4.4,Lamp5/Vip
20190724_sample_2,-36.42,-19.2,Excitatory
20190724_sample_4,-12.39,-43.81,Lamp5/Vip
20190724_sample_5,-38.89,16.62,Lamp5/Vip
20190724_sample_6,-11.74,18.58,Excitatory
20190724_sample_9,-8.28,2.23,Lamp5/Vip
20190724_sample_10,-52.23,8.58,Lamp5/Vip
20190724_sample_12,-3.14,-1.4,Lamp5/Vip
20190724_sample_16,,,           
20190725_sample_1,-29.7,35.4,Lamp5/Vip
20190725_sample_3,-11.78,22.98,Lamp5/Vip
20190725_sample_4,2.23,3.67,Pvalb/Sst
20190725_sample_5,-18.56,-29.19,Excitatory
20190725_sample_6,-11.33,-43.46,Lamp5/Vip
20190725_sample_7,-11.45,22.34,Lamp5/Vip
20190725_sample_8,-9.33,22.0,Lamp5/Vip
20190725_sample_9,-31.16,34.25,Lamp5/Vip
20190725_sample_10,,,           
20190726_sample_1,43.62,-19.13,Lamp5/Vip
20190726_sample_2,-21.46,-23.7,Pvalb/Sst
20190726_sample_3,44.96,-2.85,Lamp5/Vip
20190726_sample_4,39.12,-21.66,Excitatory
20190726_sample_5,32.49,-12.4,Lamp5/Vip
20190726_sample_6,61.07,-11.43,Pvalb/Sst
20190726_sample_7,33.1,-2.73,Lamp5/Vip
20190729_sample_2,6.33,-52.26,Pvalb/Sst
20190729_sample_3,19.47,27.92,Pvalb/Sst
20190729_sample_5,-14.37,1.85,Pvalb/Sst
20190730_sample_1,-38.73,-7.6,Lamp5/Vip
20190730_sample_2,-18.9,-45.69,Lamp5/Vip
20190730_sample_5,-7.72,-1.44,Lamp5/Vip
20190730_sample_6,-32.79,14.64,Lamp5/Vip
20190730_sample_7,-21.72,-38.37,Lamp5/Vip
20190730_sample_9,41.02,-17.27,Lamp5/Vip
20190731_sample_1,-43.74,-16.3,Pvalb/Sst
20190731_sample_2,44.17,-19.24,Lamp5/Vip
20190731_sample_3,,,           
20190731_sample_4,-56.01,-15.19,Lamp5/Vip
20190731_sample_5,-29.57,29.76,Pvalb/Sst
20190731_sample_6,,,           
20190731_sample_8,-30.88,21.18,Pvalb/Sst
20190801_sample_1,9.85,-10.99,Excitatory
20190801_sample_2,14.57,-32.81,Pvalb/Sst
20190801_sample_3,2.05,-37.35,Pvalb/Sst
20190801_sample_4,14.28,-3.47,Pvalb/Sst
20190801_sample_7,-7.51,-52.84,Pvalb/Sst
20190801_sample_8,,,           
20190820_sample_1,11.37,-5.37,Pvalb/Sst
20190820_sample_2,-49.78,1.84,Excitatory
20190820_sample_3,-14.04,6.28,Pvalb/Sst
20190820_sample_5,43.55,-8.12,Pvalb/Sst
20190820_sample_6,-26.71,1.51,Excitatory
20190821_sample_1,-10.99,18.33,Excitatory
20190821_sample_2,49.05,-6.7,Excitatory
20190821_sample_3,-53.4,-1.51,Excitatory
20190821_sample_4,45.79,-23.22,Excitatory
20190821_sample_5,2.39,52.44,Excitatory
20190821_sample_6,38.48,5.88,Excitatory
20190821_sample_7,53.09,-8.26,Excitatory
20190823_sample_1,28.4,-14.75,Excitatory
20190823_sample_3,-21.36,-21.65,Pvalb/Sst
20190823_sample_5,,,           
20190823_sample_6,7.72,-11.13,Excitatory
20190823_sample_7,37.52,-6.5,Excitatory
20190827_sample_1,-4.62,-37.12,Pvalb/Sst
20190827_sample_2,,,           
20190827_sample_3,18.43,19.59,Pvalb/Sst
20190827_sample_4,59.56,-1.04,Pvalb/Sst
20190827_sample_5,26.7,20.94,Excitatory
20190827_sample_6,16.17,-34.25,Pvalb/Sst
20190827_sample_7,-16.73,-41.74,Pvalb/Sst
20190827_sample_8,9.4,19.11,Pvalb/Sst
20190827_sample_9,-6.41,-42.72,Pvalb/Sst
20190828_sample_1,-55.74,1.27,Lamp5/Vip
20190828_sample_3,-21.65,-29.18,Lamp5/Vip
20190828_sample_4,-14.05,-45.35,Lamp5/Vip
20190828_sample_5,-25.29,-43.61,Lamp5/Vip
20190828_sample_6,-12.09,-44.6,Lamp5/Vip
20190828_sample_7,-48.89,9.77,Lamp5/Vip
20190829_sample_1,,,           
20190829_sample_2,20.75,-13.01,Lamp5/Vip
20190829_sample_3,-15.38,57.02,Excitatory
20190829_sample_4,40.89,-16.51,Lamp5/Vip
20190829_sample_6,27.36,-4.28,Lamp5/Vip
20190829_sample_9,-33.04,24.65,Pvalb/Sst
20190830_sample_1,-7.9,56.21,Excitatory
20190830_sample_2,4.18,47.02,Excitatory
20190830_sample_3,,,           
20190830_sample_4,,,           
20190830_sample_6,20.1,-18.84,Excitatory
20190830_sample_8,27.54,-31.84,Excitatory
20190830_sample_9,-21.64,-54.97,Excitatory
20190904_sample_1,,,           
20190904_sample_2,-23.86,-45.23,Lamp5/Vip
20190904_sample_3,-33.54,14.06,Lamp5/Vip
20190904_sample_4,-7.27,-39.76,Lamp5/Vip
20190904_sample_5,-31.21,-27.31,Lamp5/Vip
20190904_sample_7,-31.61,-36.76,Lamp5/Vip
20190905_sample_1,,,           
20190905_sample_3,25.57,22.29,Pvalb/Sst
20190906_sample_1,32.1,-13.02,Lamp5/Vip
20190906_sample_5,-56.86,-16.72,Excitatory
20190906_sample_6,30.98,-9.85,Lamp5/Vip
20190910_sample_1,21.83,32.52,Lamp5/Vip
20190910_sample_2,-7.64,2.86,Lamp5/Vip
20190910_sample_3,-33.47,-26.56,Lamp5/Vip
20190910_sample_4,-27.81,34.56,Lamp5/Vip
20190910_sample_6,-9.43,37.67,Lamp5/Vip
20190911_sample_3,-21.35,-50.92,Excitatory
20190911_sample_4,12.8,-27.82,Excitatory
20190911_sample_6,,,           
20190911_sample_7,,,           
20190911_sample_9,-47.86,6.36,Excitatory
20190912_sample_1,-57.3,-5.24,Excitatory
20190912_sample_2,-19.36,-22.23,Excitatory
20190912_sample_3,-55.39,-16.04,Excitatory
20190912_sample_4,32.59,-8.79,Lamp5/Vip
20190912_sample_6,-44.93,-31.62,Excitatory
20190912_sample_8,-55.68,-16.8,Excitatory
20190912_sample_10,-17.0,60.08,Pvalb/Sst
20190917_sample_1,-54.2,-5.86,Excitatory
20190917_sample_2,41.89,-20.76,Lamp5/Vip
20190917_sample_3,14.39,-9.8,Excitatory
20190919_sample_1,,,           
20190919_sample_4,39.0,-19.5,Lamp5/Vip
20190919_sample_5,-13.79,-25.69,Excitatory
20190924_sample_1,-0.34,-48.45,Pvalb/Sst
20190924_sample_2,8.81,-37.69,Pvalb/Sst
20190924_sample_3,25.19,26.64,Excitatory
20190924_sample_4,52.99,-9.54,Pvalb/Sst
20190924_sample_5,55.14,-11.19,Pvalb/Sst
20190924_sample_6,19.43,20.42,Pvalb/Sst
20190924_sample_7,-16.94,-42.26,Pvalb/Sst
20190924_sample_8,-23.3,-14.11,Excitatory
20190925_sample_2,-21.56,-23.21,Pvalb/Sst
20190925_sample_3,21.51,22.15,Pvalb/Sst
20190925_sample_4,-19.11,-26.27,Excitatory
20190925_sample_5,-0.11,25.61,Pvalb/Sst
20190925_sample_6,-46.72,-35.06,Pvalb/Sst
20190925_sample_7,9.35,16.99,Pvalb/Sst
20190926_sample_2,-42.12,38.2,Excitatory
20190926_sample_3,10.05,-41.43,Pvalb/Sst
20190926_sample_4,-41.96,35.94,Excitatory
20190926_sample_5,-43.68,-33.63,Pvalb/Sst
20190926_sample_6,57.38,11.7,Pvalb/Sst
20190927_sample_1,41.18,18.56,Excitatory
20190927_sample_2,-41.93,-38.38,Excitatory
20190927_sample_3,-59.93,16.15,Pvalb/Sst
20190927_sample_4,-11.9,45.94,Excitatory
20190927_sample_5,-44.84,-35.88,Pvalb/Sst
20190927_sample_6,1.91,20.34,Lamp5/Vip
20190927_sample_7,-57.84,-4.32,Excitatory
20191001_sample_1,31.46,12.49,Pvalb/Sst
20191001_sample_2,,,           
20191001_sample_3,-3.45,0.08,Pvalb/Sst
20191001_sample_4,-14.41,-36.38,Pvalb/Sst
20191001_sample_5,2.73,-37.85,Pvalb/Sst
20191001_sample_6,6.32,-9.33,Pvalb/Sst
20191003_sample_2,,,           
20191003_sample_3,58.23,-7.57,Pvalb/Sst
20191003_sample_4,21.68,31.43,Pvalb/Sst
20191003_sample_5,19.44,22.95,Pvalb/Sst
20191003_sample_6,-20.9,-29.86,Excitatory
20191010_sample_1,0.32,21.67,Excitatory
20191010_sample_2,-2.26,22.5,Pvalb/Sst
20191010_sample_3,2.99,-4.53,Excitatory
20191010_sample_4,-47.02,-13.24,Pvalb/Sst
20191010_sample_6,-8.91,-23.91,Pvalb/Sst
20191010_sample_7,-41.84,38.4,Excitatory
20191028_sample_1,15.72,6.21,Pvalb/Sst
20191028_sample_2,25.7,58.19,Pvalb/Sst
20191028_sample_3,-9.43,-24.14,Pvalb/Sst
20191028_sample_4,,,           
20191028_sample_5,,,           
20191030_sample_2,6.08,-46.51,Pvalb/Sst
20191030_sample_3,-41.6,38.12,Excitatory
20191030_sample_4,-14.0,-53.49,Excitatory
20191030_sample_5,18.85,-19.15,Pvalb/Sst
20191101_sample_1,43.9,4.57,Lamp5/Vip
20191101_sample_2,-44.15,3.22,Excitatory
20191101_sample_3,8.25,48.38,Lamp5/Vip
20191101_sample_4,-30.77,-0.39,Excitatory
20191101_sample_5,-28.59,0.19,Excitatory
20191101_sample_6,-48.03,10.51,Excitatory
20191104_sample_1,16.75,33.11,Pvalb/Sst
20191104_sample_2,11.53,37.76,Lamp5/Vip
20191104_sample_3,,,           
20191104_sample_4,-50.25,-34.92,Pvalb/Sst
20191105_sample_1,-29.97,24.67,Pvalb/Sst
20191105_sample_2,-10.22,21.65,Excitatory
20191105_sample_3,16.49,-22.48,Pvalb/Sst
20191105_sample_4,-40.1,-27.66,Pvalb/Sst
20191105_sample_5,17.77,30.7,Pvalb/Sst
20191106_sample_2,35.79,-11.62,Lamp5/Vip
20191106_sample_3,-11.19,52.27,Excitatory
20191106_sample_5,50.47,6.27,Lamp5/Vip
20191107_sample_1,,,           
20191107_sample_2,18.08,-20.96,Pvalb/Sst
20191107_sample_3,17.64,35.99,Pvalb/Sst
20191107_sample_4,20.88,30.41,Pvalb/Sst
20191108_sample_1,-46.24,0.3,Excitatory
20191108_sample_4,-37.14,-2.98,Excitatory
20191108_sample_5,0.37,22.11,Excitatory
20191114_sample_1,7.6,51.94,Lamp5/Vip
20191114_sample_2,-57.17,-4.37,Excitatory
20191114_sample_3,34.4,31.53,Excitatory
20191114_sample_4,19.11,41.54,Pvalb/Sst
20191114_sample_5,,,           
20191114_sample_7,-2.22,20.99,Excitatory
20191114_sample_8,-0.41,32.63,Excitatory
20191114_sample_9,-7.53,20.93,Excitatory
20200106_sample_1,44.55,22.78,Lamp5/Vip
20200106_sample_4,32.41,34.07,Excitatory
20200106_sample_5,44.13,2.17,Excitatory
20200106_sample_6,39.44,18.87,Excitatory
20200225_sample_2,-2.55,-20.84,Excitatory
20200225_sample_5,,,           
20200316_sample_1,-42.32,35.49,Excitatory
20200316_sample_2,,,           
20200316_sample_3,-42.88,-32.68,Pvalb/Sst
